id,bookTitle,bookAuthor,bookAuthoLF,bookImage,isbn,isbn13,bookPublisher,bookPages,bookYear,bookYearOriginal,dateRead,bookBuyUrl,,
OL7815087M,Maskerade,Terry Pratchett,"Pratchett, Terry",https://covers.openlibrary.org/b/id/366343-L.jpg,552142360,9.78055E+12,Corgi,380,1996,1995,1/24/22,https://www.indiebound.org/buy-local/9780062275523,,
OL7815225M,The Fifth Elephant,Terry Pratchett,"Pratchett, Terry",https://covers.openlibrary.org/b/id/366514-L.jpg,552146161,9.78E+12,Corgi,321,2000,1999,1/12/22,https://www.indiebound.org/book/9780062280138,,
OL7814991M,Lords and Ladies,Terry Pratchett,"Pratchett, Terry",https://covers.openlibrary.org/b/id/366216-L.jpg,552138916,9.78E+12,Corgi,386,1994,1992,12/28/21,https://www.indiebound.org/book/9780062237392,,
OL28124966M,Interesting Times,Terry Pratchett,"Pratchett, Terry",https://covers.openlibrary.org/b/id/9935818-L.jpg,62276298,9.78E+12,Harper,416,2014,1994,12/21/21,https://www.indiebound.org/book/9780062276292,,
OL27264243M,Tehanu,Ursula K. Le Guin,"Guin, Ursula K. Le",https://covers.openlibrary.org/b/id/8753482-L.jpg,1442459956,9.78E+12,Gallery / Saga Press,288,2012,1990,12/12/21,https://www.indiebound.org/book/9780689845338,,
135479,Cat's Cradle,Kurt Vonnegut Jr.,"Pratchett, Terry",https://covers.openlibrary.org/b/id/239794-L.jpg,140285601,9.78E+12,Penguin,179,1999,1963,12/4/21,https://www.indiebound.org/book/9780385333481,,
OL22766947M,Making Money (Discworld #36),Terry Pratchett,"Pratchett, Terry",https://covers.openlibrary.org/b/id/7020264-L.jpg,,9.78E+12,HarperCollins,394,2007,2007,11/30/21,https://www.indiebound.org/book/9780062334992,,
34532,"Hogfather (Discworld, #20; Death, #4)",Terry Pratchett,"Pratchett, Terry",https://covers.openlibrary.org/b/id/8996450-L.jpg,552154288,9.78E+12,Corgi,432,2006,1996,11/22/21,https://www.indiebound.org/book/9780062276285,,
1044580,"Jingo (Discworld, #21)",Terry Pratchett,"Pratchett, Terry",https://covers.openlibrary.org/b/id/44421-L.jpg,61059064,9.78E+12,HarperTorch,448,1999,1999,11/14/21,https://www.indiebound.org/book/9780062280206,,
12472833,"Witches Abroad (Discworld, #12)",Terry Pratchett,"Pratchett, Terry",https://covers.openlibrary.org/b/id/43529-L.jpg,,9.78E+12,ROC / The Penguin Group,252,1991,1991,10/27/21,https://www.indiebound.org/book/9780062237361,,
19248602,"The Farthest Shore (Earthsea Cycle, #3)",Ursula K. Le Guin,"Guin, Ursula K. Le",https://covers.openlibrary.org/b/id/10508403-L.jpg,,9.78E+12,Atheneum Books for Young Readers,273,2012,1972,10/20/21,https://www.indiebound.org/book/9780689845345,,
618221,"Moving Pictures (Discworld, #10)",Terry Pratchett,"Pratchett, Terry",https://covers.openlibrary.org/b/id/9022746-L.jpg,552134635,9.78E+12,Corgi,332,1991,1990,10/14/21,https://www.indiebound.org/book/9780552134637,,
17214743,"The Tombs of Atuan (Earthsea Cycle, #2)",Ursula K. Le Guin,"Guin, Ursula K. Le",https://covers.openlibrary.org/b/id/8535684-L.jpg,,9.78E+12,Atheneum Books for Young Readers,196,2012,1970,10/1/21,https://www.indiebound.org/book/9780689845369,,
64218,"Eric (Discworld, #9; Rincewind #4)",Terry Pratchett,"Pratchett, Terry",https://covers.openlibrary.org/b/id/8786620-L.jpg,380821214,9.78E+12,Harper,197,2008,1990,9/27/21,https://www.indiebound.org/book/9780380821211,,
16029682,"A Wizard of Earthsea (Earthsea Cycle, #1)",Ursula K. Le Guin,"Guin, Ursula K. Le",https://covers.openlibrary.org/b/id/8742393-L.jpg,,9.78E+12,Clarion Books,210,2012,1968,9/25/21,https://www.indiebound.org/book/9780547773742,,
86525,Master of the Senate,Robert A. Caro,"Caro, Robert A.",https://covers.openlibrary.org/b/id/253724-L.jpg,394720954,9.78E+12,Vintage,1167,2003,2002,9/19/21,https://www.indiebound.org/book/9780394720951,,
64222,"Going Postal (Discworld, #33; Moist von Lipwig, #1)",Terry Pratchett,"Pratchett, Terry",https://covers.openlibrary.org/b/id/366698-L.jpg,60502932,9.78E+12,HarperTorch,394,2005,2004,9/5/21,https://www.indiebound.org/book/9780060502935,,
19131982,Soul Music (Discworld #16),Terry Pratchett,"Pratchett, Terry",https://covers.openlibrary.org/b/id/10957052-L.jpg,,9.78E+12,HarperCollins e-books,387,2009,1994,8/29/21,https://www.indiebound.org/book/9780062237415,,
596906,"Feet of Clay (Discworld, #19)",Terry Pratchett,"Pratchett, Terry",https://covers.openlibrary.org/b/id/379690-L.jpg,575059001,9.78E+12,London : Gollancz,288,1996,1996,8/18/21,https://www.indiebound.org/book/9780575059009,,
2665042,"The Valley of Fear (Sherlock Holmes, #7)",Arthur Conan Doyle,"Doyle, Arthur Conan",https://covers.openlibrary.org/b/id/116989-L.jpg,192123149,9.78E+12,Oxford University Press,291,1993,1915,8/8/21,https://www.indiebound.org/book/9780192123145,,
8141563,Player Piano,Kurt Vonnegut Jr.,"Jr., Kurt Vonnegut",https://covers.openlibrary.org/b/id/239818-L.jpg,,9.78E+12,,354,1952,1952,8/3/21,https://www.indiebound.org/book/9780385333788,,
36478643,Sir Gawain and the Green Knight,Unknown,"Unknown, Unknown",https://covers.openlibrary.org/b/id/12233906-L.jpg,1783525606,9.78E+12,Unbound,240,2018,1397,7/24/21,https://www.indiebound.org/book/9781783525607,,
