Title,dateRead,bookTitle,bookAuthor,bookAuthoLF,bookImage,isbn13,bookPublisher,bookPages,bookYear,bookYearOriginal,bookBuyUrl
45,3/15/22,Moonwalking with Einstein,Joshua Foer,"Foer, Joshua",https://covers.openlibrary.org/b/id/6707427-L.jpg,9.78E+12,Penguin,320,2011,2003,https://www.indiebound.org/book/9780143120537
44,3/18/22,Slaugterhouse Five,Kurt Vonnegut Jr.,"Vonnegut, Kurt",https://images.booksense.com/images/849/333/9780385333849.jpg,9.78E+12,Delacorte,288,1999,1969,https://www.indiebound.org/book/9780385333849
43,3/10/22,Silverview,John le Carré,"le Carré, John",https://covers.openlibrary.org/b/id/12041636-L.jpg,9.78E+12,Viking,272,2021,2021,https://www.indiebound.org/book/9780593490594
42,3/4/22,Thief of Time,Terry Pratchett,"Pratchett, Terry",https://covers.openlibrary.org/b/id/23508-L.jpg,9.78E+12,Harper,324,2001,2001,https://www.indiebound.org/book/9780062307392
41,2/20/22,The Truth,Terry Pratchett,"Pratchett, Terry",https://covers.openlibrary.org/b/id/237372-L.jpg,9.78E+12,Harper,368,1995,1995,https://www.indiebound.org/book/9780062307361
40,2/8/22,The Wee Free Men,Terry Pratchett,"Pratchett, Terry",https://covers.openlibrary.org/b/id/20823-L.jpg,9.78E+12,HarperCollins,263,2003,2003,https://www.indiebound.org/buy-local/9780062435262
39,2/4/22,The Last Continent,Terry Pratchett,"Pratchett, Terry",https://covers.openlibrary.org/b/id/43910-L.jpg,9.78E+12,HarperPrism,292,,1999,https://www.indiebound.org/buy-local/9780062280190
38,1/24/22,Maskerade,Terry Pratchett,"Pratchett, Terry",https://covers.openlibrary.org/b/id/366343-L.jpg,9.78E+12,Corgi,380,1996,1995,https://www.indiebound.org/buy-local/9780062275523
37,1/12/22,The Fifth Elephant,Terry Pratchett,"Pratchett, Terry",https://covers.openlibrary.org/b/id/366514-L.jpg,9.78E+12,Corgi,321,2000,1999,https://www.indiebound.org/book/9780062280138
36,12/28/21,Lords and Ladies,Terry Pratchett,"Pratchett, Terry",https://covers.openlibrary.org/b/id/366216-L.jpg,9.78E+12,Corgi,386,1994,1992,https://www.indiebound.org/book/9780062237392
